,City,Country,lng,lat,Temp,Humidity,Cloudiness,Wind Speed,URL
0,coruripe,br,-34.94692144841537,-11.26506805102757,80.71,97,80,11.65,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=coruripe,br"
1,jutai,br,-69.96948652076539,-5.492059159871346,73.33,100,92,1.7,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=jutai,br"
2,busselton,au,83.85668132960205,-74.16415194496376,68.2,100,0,11.43,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=busselton,au"
3,new norfolk,au,138.5745196048531,-57.10790049751154,64.4,48,75,17.22,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=new norfolk,au"
4,taolanaro,mg,61.88382969512085,-81.69836481296635,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable
5,dawei,mm,95.76489890904946,12.871990987613898,83.5,75,56,2.26,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=dawei,mm"
6,port elizabeth,za,29.73748087311307,-71.32609389959704,66.2,93,75,11.41,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=port elizabeth,za"
7,busselton,au,113.5069978304478,-36.30889989204935,68.2,100,0,11.43,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=busselton,au"
8,kawhia,nz,174.7929809408128,-38.10930758205347,67.93,87,0,14.45,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=kawhia,nz"
9,kaitangata,nz,173.03159248416836,-64.56279876013643,64.78,52,0,21.72,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=kaitangata,nz"
10,east london,za,47.7251704689896,-55.29897371918918,70.72,100,56,5.73,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=east london,za"
11,victoria,sc,54.01342580120718,1.362233242827827,80.6,78,0,3.36,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=victoria,sc"
12,vaini,to,-175.97492778480404,-28.420131922793665,86,74,40,24.16,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=vaini,to"
13,rikitea,pf,-134.77063908790984,-65.69958596047174,76.3,100,56,9.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=rikitea,pf"
14,victoria,sc,50.86236091152878,-4.0388044201917666,80.6,78,0,3.36,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=victoria,sc"
15,jamestown,sh,-14.857926452872022,-38.50242032304715,73.78,100,88,10.2,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=jamestown,sh"
16,hithadhoo,mv,81.73931194989393,-3.8590007594263085,84.13,100,100,6.73,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=hithadhoo,mv"
17,chapais,ca,-75.31831963011723,54.471553861291795,8.6,84,90,16.11,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=chapais,ca"
18,rikitea,pf,-117.66848150013374,-37.43557131264571,76.3,100,56,9.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=rikitea,pf"
19,ushuaia,ar,-15.101297136363996,-88.29536500205965,41,86,40,3.36,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=ushuaia,ar"
20,ushuaia,ar,-24.830372406718368,-78.22796637742134,41,86,40,3.36,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=ushuaia,ar"
21,nizwa,om,55.98605644771277,20.63348723036411,62.44,43,0,2.37,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=nizwa,om"
22,haines junction,ca,-140.28409081429865,63.70445028006432,14.92,78,8,1.7,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=haines junction,ca"
23,yellowknife,ca,-106.49827496156388,70.22146397684111,14,43,20,14.99,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=yellowknife,ca"
24,hermanus,za,-11.745666552515871,-89.23939108392406,59.38,100,64,2.82,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=hermanus,za"
25,ihiala,ng,6.576930381797013,5.7417581543750345,76.39,98,24,8.63,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=ihiala,ng"
26,ayagoz,kz,80.19028283542866,47.03918249599735,35.08,57,0,15.46,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=ayagoz,kz"
27,vaini,to,-168.89739084303915,-39.23357867381759,86,74,40,24.16,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=vaini,to"
28,albany,au,112.83091654922328,-47.889551251106965,68.38,72,0,9.98,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=albany,au"
29,erenhot,cn,111.0118313217871,43.36886218409251,35.71,65,92,26.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=erenhot,cn"
